"","機構名稱","機構電話","機構地址","lon","lat"
"149","中正骨科醫院","2855999","高雄市前金區中正四路100號地下一樓，地上十三樓",120.2937201,22.628025
"150","健新醫院","07 2613866","高雄市前金區七賢二路295號",120.2907659,22.6313515
"151","高雄市立中醫醫院","07-2163186","高雄市前金區中華三路68號1-4樓部分樓層(新盛街入口)",120.2972463,22.6269695
"152","高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營)","","高雄市前金區中華三路68號",120.2972463,22.6269695
"153","重仁骨科醫院","07 2813136","高雄市前金區中華三路247號1至6樓",120.2937721,22.6343497
"154","聖和醫院","","高雄市前金區青年二路6號1-4樓",120.301735,22.620013
"155","高雄市立民生醫院","07 7511131","高雄市苓雅區凱旋二路134號",120.3235881,22.626625
"156","高雄市立凱旋醫院","07 7513171","高雄市苓雅區凱旋二路一三0號",120.32451,22.622175
"157","國軍高雄總醫院附設民眾診療服務處","07 7496751","高雄市苓雅區建軍路5號",120.3419285,22.6259888
"158","阮綜合醫療社團法人阮綜合醫院","07-3351121","高雄市苓雅區成功一路162號.四維四路136號.166號.永昌街49號",120.6660044,23.0108714
"159","乃榮醫療社團法人乃榮醫院","","高雄市苓雅區三多二路226.228號.地下1樓-5樓",120.3187958,22.6187761
"160","濟代中醫醫院","07 3318986","高雄市苓雅區苓雅二路205、207、209號",120.295823,22.616052
"161","邱外科醫院","07 3335131","高雄市苓雅區成功一路137號1-6樓",120.297335,22.6147008
"162","財團法人天主教聖功醫院","07 2238153","高雄市苓雅區建國一路352號",120.3239205,22.6330888
"163","信義醫療財團法人高雄基督教醫院","07 3321111","高雄市苓雅區華新街86號",120.2963175,22.6139801
"164","高雄市立聯合醫院","07-5552565","高雄市鼓山區中華一路976號",120.291194,22.654927
"165","聖明醫院","07 5313755","高雄市鼓山區鼓山三路52號",120.2755406,22.6550513
"166","正大醫院","07 5823989","高雄市鼓山區鼓山三路128號之9、葆禎路263、265號",120.2795962,22.6640859
"167","三泰醫院","07 5217466","高雄市鼓山區九如四路1030號",120.2792447,22.6556751
"168","生安婦產小兒科醫院","5223138","高雄市鼓山區美術東二路177號B2-11F",120.2882223,22.6624537
"169","高雄市立旗津醫院〈委託阮綜合醫療社團法人阮綜合醫院經營〉","5712891","高雄市旗津區廟前路1之1號",120.2674085,22.6114965
"170","正薪醫院","07-9705335","高雄市前鎮區一心一路233號1-3樓",120.317754,22.60791
"171","瑞祥醫院","7717503","高雄市前鎮區班超路92號地下1樓，地上1-7樓",120.32575,22.601624
"172","二聖醫院","07 7117366","高雄市前鎮區二聖一路71號英明一路144號",120.3251014,22.6119974
"173","吳昆哲婦產小兒科醫院","07 3319611","高雄市前鎮區民權二路430號",120.314339,22.6120453
"174","佳欣婦幼醫院","07-3312233","高雄市前鎮區三多三路149號",120.3102381,22.615646
"175","愛仁醫療社團法人愛仁醫院","07-3115159","高雄市三民區民族一路45號1樓至4樓及49、51號1樓至5樓",120.313904,22.641667
"176","謝外科醫院","07-2360121","高雄市三民區河北一路330號",120.3031855,22.6368098
"177","四季台安醫院","07-3983000，2011345","高雄市三民區聯興路157號(地下1樓至6樓)、高雄市三民區聯興路145巷1號1-3樓",120.312761,22.659355
"178","全民醫院","07-3220066","高雄市三民區九如二路501.503.505.507.509號1- 4樓",120.2985516,22.6413741
"179","文雄醫院","07 3165275","高雄市三民區察哈爾二街132號地下1層地上1至4層",120.2994899,22.6479975
"180","民族醫院","07 3462802","高雄市三民區民族一路880號(地下一樓.地上一至九樓)",120.3173024,22.6685085
"181","健生醫院","07 3117877","高雄市三民區九如二路68號",120.3116621,22.6407611
"182","祐生醫院","07-2866688","高雄市三民區建國三路60號",120.2961286,22.6379608
"183","南山醫院","07 2882101","高雄市三民區建國三路151.153號1~3樓",120.2985463,22.6377216
"184","德謙醫院","07 3210981","高雄市三民區九如二路18號地下1樓至6樓",120.313181,22.64066
"185","新高醫院","07-3852336","高雄市三民區莊敬路288號1-9樓",120.3181937,22.6498119
"186","財團法人私立高雄醫學大學附設中和紀念醫院","07 3121101","高雄市三民區十全一路100號",120.310416,22.6477347
"187","宏明醫院","07 2722451","高雄市三民區建國三路415號",120.2915164,22.6362756
"188","右昌聯合醫院","07-3643388","高雄市楠梓區軍校路930號B1-9F",120.290911,22.713502
"189","長春醫院","07-3612995","高雄市楠梓區右昌街331號1-5樓",120.2891543,22.7143351
"190","健仁醫院","07- 3517166","高雄市楠梓區楠陽路136號朝明路130巷7弄1號1-5樓",120.3286022,22.7238563
"191","顏威裕醫院","07-3639053","高雄市楠梓區後昌路826號1-7樓",120.2956427,22.7111148
"192","臨海醫院","8012171","高雄市小港區沿海一路店鎮里461號一至七樓",120.356824,22.561708
"193","戴銘浚婦兒醫院","07-8061289","高雄市小港區宏平路正苓里661號一至六樓",120.351197,22.569615
"194","安泰醫院","07 8017856","高雄市小港區沿海一路219、221號漢民路253、255、257號(地下1樓~5樓)",120.352431,22.5663705
"195","高雄市立小港醫院(委託財團法人私立高雄醫學大學經營)","07 8065042","高雄市小港區山明里山明路482號B1-10樓",120.3633173,22.5674103
"196","馨蕙馨醫院","07一5586080","高雄市左營區明誠二路541號",120.303823,22.660976
"197","行政院國軍退除役官兵輔導委員會高雄榮民總醫院","07 3422121","高雄市左營區大中一路386號",120.3223833,22.6797317
"198","國軍高雄總醫院左營分院附設民眾診療服務處","07 5811648","高雄市左營區軍校路553號",120.2904141,22.7015284
"199","柏仁醫院","07-5508888","高雄市左營區博愛二路350號地下1樓至地上1-5樓",120.3039485,22.6595956
"200","博正醫院","07-5561909","高雄市左營區博愛二路100號地下1樓至5樓",120.3088659,22.6596293
"201","劉光雄醫院","07-6219156","高雄市岡山區岡山路380之1號",120.2959246,22.7942191
"202","樂安醫院","07-6256791","高雄市岡山區通校路300號",120.2811364,22.7923473
"203","國軍高雄總醫院岡山分院附設民眾診療服務處","07-6252281","高雄市岡山區大義二路1號",120.2855337,22.7894037
"204","劉嘉修醫院","07 6222836","高雄市岡山區岡山路428號1,2,3,6樓及 4 2 6號1,2,3樓",120.2957623,22.7957276
"205","高雄市立岡山醫院（委託秀傳醫療社團法人經營）","07-6222131","高雄市岡山區壽天路12號",120.294619,22.7966146
"206","惠川醫院","07-6229292","高雄市岡山區岡山路92號",120.2967107,22.7880036
"207","高新醫院","07 6975903","高雄市路竹區中山路627號",120.2578569,22.8630823
"208","溫有諒醫院","07 6963322","高雄市路竹區延平路57號",120.2584972,22.8580921
"209","長佑醫院","07 6311267","高雄市阿蓮區中山路150號",120.3287469,22.8795802
"210","靜和醫院燕巢分院","07-615-6555","高雄市燕巢區深水里深水路3之20號",120.4207093,22.7813639
"211","義大醫療財團法人義大醫院","07-6150011","高雄市燕巢區角宿里義大路1號",120.3628399,22.7645226
"212","泰和醫院","07 6111128","高雄市橋頭區成功路101號",120.3098788,22.7588154
"213","杏和醫院","07-7613111","高雄市鳳山區五甲二路389號、470號1樓",120.3355853,22.5977854
"214","新高鳳醫院","7472320","高雄市鳳山區光遠路360號",120.3587884,22.6262008
"215","仁惠婦幼醫院","(07)7104397","高雄市鳳山區自由路81號",120.3533596,22.6258233
"216","惠德醫院","07-8126000","高雄市鳳山區福祥街81號及同號2樓",120.3251684,22.5920202
"217","優生婦產科醫院","07 7478629","高雄市鳳山區自由路189號",120.351021,22.625555
"218","大東醫院","07-7463762","高雄市鳳山區光遠路171-2號",120.3619182,22.6253849
"219","馬光中醫醫院","7478055","高雄市鳳山區維新路122號1、2樓",120.3611495,22.6245787
"220","高雄市立鳳山醫院（委託長庚醫療財團法人經營）","07-7418151","高雄市鳳山區經武路42號",120.3631044,22.6285073
"221","財團法人台灣省私立高雄仁愛之家附設慈惠醫院","07-7030315","高雄市大寮區鳳屏一路509號",120.3941306,22.6372186
"222","瑞生醫院","77838843","高雄市大寮區鳳林四路192號",120.3847689,22.6176492
"223","樂生婦幼醫院","7862688","高雄市大寮區鳳林三路532號",120.3953959,22.6065442
"224","霖園醫院","07-6412124","高雄市林園區林園北路244號",120.3949418,22.5076566
"225","建佑醫院","07-6437901","高雄市林園區東林西路360、362號、364巷10號、399號、407巷7號",120.3864095,22.5036757
"226","長庚醫療財團法人高雄長庚紀念醫院","07-7317123","高雄市鳥松區大埤路123號",120.3572375,22.6556627
"227","行政院衛生署旗山醫院","07-6613811","高雄市旗山區中學路60號",120.4832534,22.8807893
"228","廣聖醫療社團法人廣聖醫院","07-6622391","高雄市旗山區中華路618號1-6樓",120.485433,22.8849861
"229","重安醫院","07 6621783","高雄市旗山區大仁街18號",120.4847621,22.8830217
"230","溪洲醫院","07-6621985","高雄市旗山區延平一路412、408號",120.483207,22.8927625
"231","博愛醫院","07 6617602","高雄市旗山區延平一路689號",120.483231,22.883632
"232","三聖醫院","07-6818495","高雄市美濃區合和里合和路56號及58號，成功路182-2號",120.548117,22.8940591
"233","三軍總醫院附設基隆民眾診療服務處","02 4631979","基隆市仁愛區孝二路39號中正區正榮街100號",121.739416,25.1288232
"234","行政院衛生署基隆醫院","02-24292525","基隆市信義區信二路268號",121.74818,25.130232
"235","基隆市立醫院","02 4652141","基隆市信義區東信路282號",121.7619835,25.1296063
"236","維德醫院","02-24696688","基隆市中正區調和街210號",121.7962455,25.1374032
"237","新昆明醫院","","基隆市中正區中正路30號",121.744841,25.133136
"238","長庚醫療財團法人基隆長庚紀念醫院","02-24313131","基隆市安樂區麥金路222號",121.72236,25.120702
"239","南光神經精神科醫院","","基隆市安樂區基金一路91號",121.7184988,25.1383046
"240","醫療財團法人台灣區煤礦業基金會台灣礦工醫院","02 24579101","基隆市暖暖區源遠路29號",121.7330656,25.1079649
"241","平和醫療社團法人和平醫院","03-5260151","新竹市北區和平路86-1號",120.9556374,24.8088916
"242","財團法人台灣省私立桃園仁愛之家附設新竹新生醫院","03-5223637","新竹市北區興南里西門街120號",120.963392,24.8015488
"243","國軍新竹地區醫院附設民眾診療服務處","03-5348181","新竹市北區武陵路3號",120.969531,24.8216051
"244","新中興醫院","03-5213163","新竹市北區興南街43號",120.9628977,24.8017976
"245","國立台灣大學醫學院附設醫院新竹分院","03-5326151","新竹市北區金華里經國路一段442巷25號",120.9799254,24.8169834
"246","南門綜合醫院","03-5261122","新竹市東區成功里林森路20號",120.969653,24.8021381
"247","財團法人馬偕紀念醫院新竹分院","03-6119595","新竹市東區光復里光復路二段690號",120.9906659,24.8000386
"248","國泰醫療財團法人新竹國泰綜合醫院","03-5278999","新竹市東區福德里中華路二段678號及678號之1",NA,NA
"249","世華醫院","05-2257525","嘉義市西區仁愛路365號",120.4420749,23.4756624
"250","安心醫院","05-2252617","嘉義市西區民族路666號",120.4441989,23.4755901
"251","慶昇醫院","05-2229191","嘉義市西區新榮路339、339-1號",120.4441126,23.4793953
"252","台中榮民總醫院嘉義分院","05 2359630","嘉義市西區劉厝里世賢路二段600號",120.4229776,23.4675962
"253","行政院衛生署嘉義醫院","05 2319090","嘉義市西區北港路312號",120.4356672,23.4767644
"254","祥太醫院","05-2230398","嘉義市西區書院里延平街490號  永和街116號",120.4400379,23.4758463
"255","陳仁德醫院","05 2258279","嘉義市西區林森西路285號",120.4470935,23.4837425
"256","盧亞人醫院","05-2248347","嘉義市西區民權路四0六號",120.4671296,23.4839862
"257","建興醫院","05 2270302","嘉義市東區內安里中山路148號",120.4541007,23.481587
"258","財團法人天主教聖馬爾定醫院","05 2756000","嘉義市東區短竹里大雅路二段565號",120.4659544,23.4767981
"259","戴德森醫療財團法人嘉義基督教醫院","05 2765041","嘉義市東區中庄里忠孝路539號；東區後湖里保建街100號；東區頂庄里忠孝路642號",120.4501144,23.4994772
"260","陽明醫院","05-2284567","嘉義市東區吳鳳北路252號",120.4531772,23.4798829
"261","國立台灣大學醫學院附設醫院金山分院","24989898","新北市金山區五湖里南勢51號",121.628174,25.219673
"262","板新醫院","02 9609955","新北市板橋區中正路189號",121.4564951,25.016877
"263","蕭中正醫院","(02)29687095","新北市板橋區南雅南路一段15號之1、17號、19號(1、2、3、4樓)",121.4564159,25.0069098
"264","醫療財團法人徐元智先生醫藥基金會亞東紀念醫院","(02)  89667000","新北市板橋區南雅南路二段二十一號",121.4527715,24.9972647
"265","中英醫療社團法人板英醫院","82513923","新北市板橋區文化路1段267、269、271號1-4樓",121.464585,25.018406
"266","中英醫療社團法人中英醫院","22563584","新北市板橋區文化路一段196號1~4樓",121.4662332,25.0198982
"267","板橋中興醫院","229590707","新北市板橋區忠孝路十五號",121.4601586,25.0019596
"268","德全醫院","(02)29639132","新北市板橋區民權路5號1~2樓、7號1、2、4樓、9號1、2、4樓、11號1~4樓",121.459784,25.014485
"269","板橋國泰醫院","229583333","新北市板橋區忠孝路5、7、9、11號一至三樓。",121.4599287,25.0019277
"270","國泰醫療財團法人汐止國泰綜合醫院","26482121","新北市汐止區建成路59巷2號地下4樓至地上12樓",121.661038,25.0734893
"271","瑞芳礦工醫院","24974101","新北市瑞芳區一坑路71之2號",121.8021779,25.1085998
"272","宏慈療養院","222151177","新北市新店區安泰路157號",121.4881907,24.9387459
"273","宏濟神經精神科醫院","22121100-511","新北市新店區安忠路57巷5號",121.513963,24.9588963
"274","財團法人天主教耕莘醫院","02 2193391","新北市新店區中正路362號",121.5357523,24.976293
"275","財團法人佛教慈濟綜合醫院台北分院","(02)66289779","新北市新店區建國路289號地下1至3樓至地上1至15樓",121.5358405,24.985978
"276","新北仁康醫院","02-22152345","新北市新店區安康路2段323號地上1至2樓",121.4997383,24.9555591
"277","同仁醫院","(02)29170201","新北市新店區民權路89號",121.5376173,24.9828873
